"","X","index","age","target_label","session_id","correct_or_not","target_label_prob","airplane_prob","bike_prob","bird_prob","car_prob","cat_prob","chair_prob","cup_prob","hat_prob","house_prob","rabbit_prob","tree_prob","watch_prob"
"1",0,0,8,"airplane","photodraw_e21547849501667",1,0.124285522534936,0.124285522534936,0.0944322067319634,0.101854815771757,0.0598200344672967,0.0915829891515481,0.11890113141999,0.0664198153019203,0.0674949106610997,0.0596856182359405,0.0747177306142677,0.0705211839369777,0.0702840411723029
"2",0,1,8,"airplane","photodraw_e21547845878342",1,0.132580024078194,0.132580024078194,0.0894713547325525,0.0596783776071936,0.0734931488068889,0.0898759380436064,0.0455198459637291,0.0719931141832255,0.106029853281422,0.0708482869241107,0.0877306239281852,0.0683989848798966,0.104380447570996
"3",0,10,5,"airplane","photodraw_e21544206692186",1,0.125304374035888,0.125304374035888,0.0961519558108067,0.113294519141431,0.0630955053545745,0.0952280090270889,0.122129513348888,0.0665011314219544,0.0694494442493382,0.0421398441915954,0.0866666031635793,0.0653798145858025,0.0546592856690522
"4",0,100,6,"airplane","photodraw_e21540577320461",0,0.111411942027173,0.111411942027173,0.131920252311285,0.0712416494719995,0.134026646621963,0.0714383977590741,0.0706389207395222,0.0816423865609742,0.0511594012705769,0.0606572011854171,0.0712214980886878,0.0678525559672999,0.0767891479960279
"5",0,1000,5,"cat","photodraw_e21542223602317",0,0.0909465988019233,0.0695608402875751,0.0900340789417107,0.103865589627452,0.0632592298893017,0.0909465988019233,0.125867387611862,0.102651351429883,0.0747931430653028,0.0812588323241577,0.0671812891812234,0.0797792455789086,0.0508024132606986
"6",0,1001,6,"cat","photodraw_e21545255128573",0,0.0812292661502818,0.13493895997572,0.0910129287377934,0.0736144669214851,0.0823585270565615,0.0812292661502818,0.121807442302089,0.0952267715488275,0.0620980900283354,0.044414996790446,0.0723621463065466,0.0779516614601979,0.0629847427217157
"7",0,1002,9,"cat","photodraw_e21555004796019",0,0.0927044174959856,0.0623988780691156,0.0932773469561656,0.0714724442596685,0.106428742903655,0.0927044174959856,0.06312659793483,0.0742248029781992,0.062827166540348,0.0626609139835295,0.0916991719491859,0.155406560072581,0.0637729568567358
"8",0,1003,5,"cat","photodraw_e21542047659207",0,0.0843659468523121,0.112126870720183,0.112042632778514,0.110679777034986,0.0633361624704978,0.0843659468523121,0.0950617788546649,0.0746028841918281,0.0684286703755112,0.0679719519233122,0.0718230304941404,0.0814993477599564,0.0580609465440939
"9",0,1004,4,"cat","photodraw_e21548445362792",0,0.0884266898366894,0.0528851910881332,0.0976744179584523,0.0582535213139,0.127446092394356,0.0884266898366894,0.0572882658897267,0.0665123123968165,0.0700284728408753,0.0778933537522233,0.111045544748725,0.0753138770138285,0.117232260766274
"10",0,1005,6,"cat","photodraw_e21547240775263",0,0.103324227619484,0.0622940272794717,0.0678812439019517,0.105377689590296,0.071116813890083,0.103324227619484,0.0743439319857119,0.0752201285668989,0.0546265070386944,0.0606475099698406,0.101308043736082,0.135181020470023,0.0886788559514622
