,subID,imageName,guessed_category,drawn_category,version
0,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_cat_sketch_age9_CDM_photodraw_e21553793354436.png,cat,cat,batch11_production_june2021
1,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_watch_sketch_age8_IPAD5_THU9M2.png,watch,watch,batch11_production_june2021
2,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_watch_sketch_age9_CDM_photodraw_e21552765156167.png,watch,watch,batch11_production_june2021
3,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_bird_sketch_age6_IPAD1_THU6F28.png,bird,bird,batch11_production_june2021
4,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_bird_sketch_age8_CDM_photodraw_e21550696453174.png,rabbit,bird,batch11_production_june2021
5,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_cup_sketch_age4_IPAD5_THU4M10.png,cup,cup,batch11_production_june2021
6,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_airplane_sketch_age9_IPAD3_THU9F1.png,airplane,airplane,batch11_production_june2021
7,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_bird_sketch_age8_IPAD2_THU8F14.png,bird,bird,batch11_production_june2021
8,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_hat_sketch_age9_CDM_photodraw_e21553797665751.png,hat,hat,batch11_production_june2021
9,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_chair_sketch_age7_IPAD1_THU7F39.png,chair,chair,batch11_production_june2021
10,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_cat_sketch_age5_CDM_photodraw_e21543430495947.png,cat,cat,batch11_production_june2021
11,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_house_sketch_age8_CDM_photodraw_e21550689187843.png,house,house,batch11_production_june2021
12,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_car_sketch_age8_IPAD1_THU8M36.png,car,car,batch11_production_june2021
13,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_bike_sketch_age8_CDM_photodraw_e21547849501667.png,bike,bike,batch11_production_june2021
14,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_tree_sketch_age5_IPAD5_THU5M9.png,tree,tree,batch11_production_june2021
15,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_cat_sketch_age5_IPAD5_THU5F2.png,rabbit,cat,batch11_production_june2021
16,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_airplane_sketch_age5_IPAD5_THU6M1.png,house,airplane,batch11_production_june2021
17,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_chair_sketch_age6_IPAD1_THU7M44.png,chair,chair,batch11_production_june2021
18,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_tree_sketch_age6_IPAD1_1THU6F30.png,tree,tree,batch11_production_june2021
19,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_tree_sketch_age9_CDM_photodraw_e21556311534736.png,tree,tree,batch11_production_june2021
20,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_bike_sketch_age6_IPAD2_THU6M31.png,bike,bike,batch11_production_june2021
21,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_car_sketch_age5_IPAD5_THU5F2.png,cup,car,batch11_production_june2021
22,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_chair_sketch_age8_CDM_photodraw_e21547674347301.png,chair,chair,batch11_production_june2021
23,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_airplane_sketch_age9_CDM_photodraw_e21555523952200.png,airplane,airplane,batch11_production_june2021
24,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/S_bird_sketch_age6_CDM_photodraw_e21545255128573.png,hat,bird,batch11_production_june2021
25,60749cc7edac206ba348a89,https://stanford-cogsci.org:8880/object_drawings/P_bird_sketch_age10_IPAD2_THU10M11.png,bird,bird,batch11_production_june2021
