"","X","filename","category","pre_tran","post_tran","rotate","translate","scale","site","session_id","rating"
"64",63,"Tsinghua_photodraw_production1576135371471_square.png","square",-0.128136575222,-0.644526779652,0.0018405,0.0275752,0.0497708103498307,"Tsinghua","production1576135371471",3
"65",64,"Tsinghua_photodraw_production1575356843675_square.png","square",-0.23997181654,-0.863991856575,0.00575237,0.018784,0.0637556980910093,"Tsinghua","production1575356843675",4
"66",65,"CDM_photodraw_e21544821083289_square.png","square",-0.235459029675,-0.750526070595,0.0345266,0.0240045,0.0498794021801444,"CDM","e21544821083289",3
"67",66,"CDM_photodraw_e21542057631101_square.png","square",-0.144363969564,-0.66142219305,0.0213019,0.0352294,0.0890390469975454,"CDM","e21542057631101",3
"68",67,"Tsinghua_photodraw_production1576739207246_square.png","square",0.0362231172621,-0.0191269107163,0.211935,0.201564,0.562434446134018,"Tsinghua","production1576739207246",0
"69",68,"CDM_photodraw_e21541017927896_square.png","square",-0.222077161074,-0.680087566376,0.0468141,0.0113816,0.0648169541158929,"CDM","e21541017927896",3
"70",69,"CDM_photodraw_e21547849860466_square.png","square",-0.122130744159,-0.778698205948,0.0376409,0.0238902,0.124943646319535,"CDM","e21547849860466",3
"71",70,"Tsinghua_photodraw_production1573800333460_square.png","square",-0.154061853886,-0.595145106316,0.00972882,0.0190462,0.0422669326255653,"Tsinghua","production1573800333460",3
"72",71,"CDM_photodraw_e21547246292717_square.png","square",-0.236516609788,-0.552945375443,0.0434322,0.017537,0.0466154398506635,"CDM","e21547246292717",2
"73",72,"CDM_photodraw_e21547848462737_square.png","square",-0.345522135496,-0.663013577461,0.0143575,0.0279615,0.0395774310032694,"CDM","e21547848462737",3
"74",73,"Tsinghua_photodraw_production1575444606752_square.png","square",-0.12317468971,-0.872539997101,0.00588309,0.00903936,0.0684997984828319,"Tsinghua","production1575444606752",4
"75",74,"CDM_photodraw_e21553292202608_square.png","square",0.0170828998089,-0.284777492285,0.0357241,0.103212,0.184094331857221,"CDM","e21553292202608",0
"76",75,"CDM_photodraw_e21547069129052_square.png","square",-0.325690180063,-0.727700233459,0.0197481,0.0204688,0.0515947747182425,"CDM","e21547069129052",3
"77",76,"CDM_photodraw_e21554499556910_square.png","square",-0.293941020966,-0.647346377373,0.00966502,0.0238717,0.0637426028078838,"CDM","e21554499556910",3
"78",77,"CDM_photodraw_e21544819304302_square.png","square",-0.174272045493,-0.754816412926,0.0199892,0.0276722,0.0501472849517348,"CDM","e21544819304302",3
"79",78,"Tsinghua_photodraw_production1573780549952_square.png","square",-0.157856121659,-0.635431587696,0.0074624,0.0312729,0.0954606565171746,"Tsinghua","production1573780549952",3
"80",79,"Tsinghua_photodraw_production1573780074909_square.png","square",-0.185686975718,-0.831653177738,0.0283212,0.0245187,0.0727891031244351,"Tsinghua","production1573780074909",4
"81",80,"CDM_photodraw_e21547667337924_square.png","square",-0.147006064653,-0.74741846323,0.00315435,0.0276025,0.112525201045092,"CDM","e21547667337924",3
"82",81,"CDM_photodraw_e21547247873170_square.png","square",-0.398039788008,-0.660361945629,0.0554806,0.00854657,0.0315501783606581,"CDM","e21547247873170",3
"83",82,"Tsinghua_photodraw_production1573782278634_square.png","square",-0.147528573871,-0.590837955475,0.000816978,0.0203842,0.0405784055118219,"Tsinghua","production1573782278634",3
"84",83,"Tsinghua_photodraw_production1573784632550_square.png","square",-0.130716919899,-0.510860621929,0.0422521,0.0456134,0.0783790366247576,"Tsinghua","production1573784632550",2
