value,iPad_Used,SubID
IPAD1_THU6F30,IPAD1,THU6F30
IPAD1_THU7F33,IPAD1,THU7F33
IPAD2_THU5F02,IPAD2,THU5F02
IPAD2_THU5M04,IPAD2,THU5M04
IPAD2_THU8M21,IPAD2,THU8M21
IPAD3_THU4M6,IPAD3,THU4M6
IPAD3_THU7F13,IPAD3,THU7F13
IPAD3_THU7M12,IPAD3,THU7M12
IPAD3_THU8F17,IPAD3,THU8F17
IPAD5_THU4F6,IPAD5,THU4F6
IPAD5_THU5M1,IPAD5,THU5M1
IPAD5_THU5M4,IPAD5,THU5M4
