,filename,category,pre_tran,post_tran,rotate,translate,scale
0,Tsinghua_photodraw_production1573781111110_square.png,square,-0.10622227937,-0.730519413948,0.0140725,0.0596407,0.064793989016660822
1,Tsinghua_photodraw_production1577170507146_square.png,square,-0.286393135786,-0.612714767456,0.00111378,0.0285719,0.026070919538611889
2,Tsinghua_photodraw_production1576136080275_square.png,square,-0.0492177717388,-0.555098593235,0.00111136,0.0212179,0.071748231735373216
3,CDM_photodraw_e21547238752953_square.png,square,-0.097375549376,-0.794636011124,0.00336013,0.025697,0.11014561018216765
4,CDM_photodraw_e21547849081297_square.png,square,-0.162084639072,-0.723682999611,0.0492893,0.00926171,0.069133983855987791
5,Tsinghua_photodraw_production1575528834271_square.png,square,0.0332349538803,0.0215835925192,0.053686,0.394929,0.079798377970436568
6,Tsinghua_photodraw_production1573782872726_square.png,square,-0.164976522326,-0.701159596443,0.00730955,0.0465585,0.065773869001201135
7,CDM_photodraw_e21555004796019_square.png,square,-0.262006223202,-0.712834954262,0.0254399,0.00663592,0.062465569694300276
8,CDM_photodraw_e21547668018017_square.png,square,-0.422647416592,-0.799158096313,0.0322208,0.00439879,0.035071402793923637
9,CDM_photodraw_e21547668526141_square.png,square,-0.0757975950837,-0.389437645674,0.0150559,0.0348335,0.056717061962028421
10,Tsinghua_photodraw_production1576655850817_square.png,square,-0.0738324970007,-0.40690100193,0.00203348,0.0229648,0.03283259403247403
11,Tsinghua_photodraw_production1576134884446_square.png,square,-0.162798017263,-0.581892609596,0.0323391,0.00989549,0.077889391445034165
12,Tsinghua_photodraw_production1578553081396_square.png,square,-0.355372369289,-0.717349469662,0.0295286,0.0171968,0.075033755135099453
13,Tsinghua_photodraw_production1576481274500_square.png,square,-0.194343969226,-0.690121114254,0.00526867,0.0184949,0.07168399471542064
14,CDM_photodraw_e21547845878342_square.png,square,-0.284099638462,-0.761243164539,0.00318837,0.0127991,0.050203523804212516
15,CDM_photodraw_e21547238095569_square.png,square,-0.340730845928,-0.766767799854,0.000261203,0.0213092,0.041836174520585259
16,CDM_photodraw_e21542050776864_square.png,square,-0.376133829355,-0.611864387989,0.0155963,0.00858866,0.028813528666255726
17,CDM_photodraw_e21554930039176_square.png,square,-0.403881937265,-0.530088663101,0.000291445,0.0158959,0.01680812192937035
18,Tsinghua_photodraw_production1575960999852_square.png,square,-0.151965126395,-0.667872488499,0.0546075,0.0242629,0.093963191631620008
19,CDM_photodraw_e21547672389753_square.png,square,-0.0343476310372,-0.656168818474,0.0143851,0.0541046,0.10341637944841921
