subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
110918_1,photodraw_e21541799408496,P,airplane,6,15.584,0.020886479591836735,age4,P_airplane_sketch_age4_CDM_photodraw_e21541799408496.png,4,CDM
IPAD4_THU4F8,Tsinghua_photodraw_production1573785392477,P,airplane,8,30090,0.03884327168367347,NA,P_airplane_sketch_age4_IPAD4_THU4F8.png,4,THU
110918_1,photodraw_e21541799408496,S,bike,7,17.773,0.05287388392857143,age4,S_bike_sketch_age4_CDM_photodraw_e21541799408496.png,4,CDM
IPAD1_THU4F8,Tsinghua_photodraw_production1573785607858,P,bike,1,18732,0.025011957908163265,NA,P_bike_sketch_age4_IPAD1_THU4F8.png,4,THU
011619_6,photodraw_e21547672389753,S,bird,5,6.089,0.049485809948979595,age4,S_bird_sketch_age4_CDM_photodraw_e21547672389753.png,4,CDM
IPAD2_THU5M03,Tsinghua_photodraw_production1573782278634,S,bird,16,30094,0.0323860012755102,NA,S_bird_sketch_age4_IPAD2_THU5M03.png,4,THU
010919_8,photodraw_e21547071853117,S,car,14,21.414,0.16631457270408162,age4,S_car_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD1_THU4F8,Tsinghua_photodraw_production1573785607858,S,car,3,18988,0.036431760204081634,NA,S_car_sketch_age4_IPAD1_THU4F8.png,4,THU
102618_1,photodraw_e21540576907849,S,cat,10,14.268,0.05466757015306122,age4,S_cat_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD2_THU5M03,Tsinghua_photodraw_production1573782278634,S,cat,15,30081,0.025809151785714284,NA,S_cat_sketch_age4_IPAD2_THU5M03.png,4,THU
012519_2,photodraw_e21548445362792,P,chair,7,13.858,0.042869100765306124,age4,P_chair_sketch_age4_CDM_photodraw_e21548445362792.png,4,CDM
IPAD2_THU4F03,Tsinghua_photodraw_production1573785526202,P,chair,9,30118,0.01482780612244898,NA,P_chair_sketch_age4_IPAD2_THU4F03.png,4,THU
010919_7,photodraw_e21547070395780,S,cup,4,10.574,0.017916932397959183,age4,S_cup_sketch_age4_CDM_photodraw_e21547070395780.png,4,CDM
IPAD5_THU4M7,Tsinghua_photodraw_production1573784374186,P,cup,4,15898,0.02277981505102041,NA,P_cup_sketch_age4_IPAD5_THU4M7.png,4,THU
O10919_1,photodraw_e21547060282520,S,hat,2,5.733,0.03186782525510204,age4,S_hat_sketch_age4_CDM_photodraw_e21547060282520.png,4,CDM
IPAD3_THU4F8,Tsinghua_photodraw_production1573785586812,P,hat,7,25737,0.020348373724489797,NA,P_hat_sketch_age4_IPAD3_THU4F8.png,4,THU
011119_8,photodraw_e21547241159990,S,house,4,23.286,0.06154336734693878,age4,S_house_sketch_age4_CDM_photodraw_e21547241159990.png,4,CDM
IPAD1_THU4F6,Tsinghua_photodraw_production1573783652311,S,house,1,30338,0.014150191326530613,NA,S_house_sketch_age4_IPAD1_THU4F6.png,4,THU
012519_6,photodraw_e21548455224165,P,rabbit,10,27.268,0.07399952168367346,age4,P_rabbit_sketch_age4_CDM_photodraw_e21548455224165.png,4,CDM
IPAD4_THU5M5,Tsinghua_photodraw_production1573782437440,S,rabbit,7,27107,0.09771603954081633,NA,S_rabbit_sketch_age4_IPAD4_THU5M5.png,4,THU
011119_11,photodraw_e21547243566891,P,tree,4,10.202,0.05570392219387755,age4,P_tree_sketch_age4_CDM_photodraw_e21547243566891.png,4,CDM
IPAD2_THU4M04,Tsinghua_photodraw_production1573786958772,S,tree,18,30098,0.05893255739795918,NA,S_tree_sketch_age4_IPAD2_THU4M04.png,4,THU
0111819_10,photodraw_e21547849860466,P,watch,6,9.184,0.026028380102040817,age4,P_watch_sketch_age4_CDM_photodraw_e21547849860466.png,4,CDM
IPAD2_THU5F04,Tsinghua_photodraw_production1573783270171,S,watch,5,14379,0.03107063137755102,NA,S_watch_sketch_age4_IPAD2_THU5F04.png,4,THU
121418_1,photodraw_e21544819304302,S,airplane,12,14.334,0.07674984056122448,age5,S_airplane_sketch_age5_CDM_photodraw_e21544819304302.png,5,CDM
IPAD3_THU5M1,Tsinghua_photodraw_production1573779019443,P,airplane,5,30189,0.06768176020408163,NA,P_airplane_sketch_age5_IPAD3_THU5M1.png,5,THU
111218_8,photodraw_e21542061442525,P,bike,9,23.835,0.04791135204081633,age5,P_bike_sketch_age5_CDM_photodraw_e21542061442525.png,5,CDM
IPAD1_THU5F2,Tsinghua_photodraw_production1573779630652,P,bike,11,27701,0.05133928571428571,NA,P_bike_sketch_age5_IPAD1_THU5F2.png,5,THU
110718_2,photodraw_e21541616746618,P,bird,8,17.261,0.024135044642857144,age5,P_bird_sketch_age5_CDM_photodraw_e21541616746618.png,5,CDM
IPAD5_THU6M1,Tsinghua_photodraw_production1573778817054,S,bird,14,28376,0.047532684948979595,NA,S_bird_sketch_age5_IPAD5_THU6M1.png,5,THU
120718_1,photodraw_e21544206692186,S,car,10,23.692,0.05512595663265306,age5,S_car_sketch_age5_CDM_photodraw_e21544206692186.png,5,CDM
111418_1,photodraw_e21542218678125,S,cat,11,23.199,0.030711894132653062,age5,S_cat_sketch_age5_CDM_photodraw_e21542218678125.png,5,CDM
IPAD3_THU5M3,Tsinghua_photodraw_production1573780632846,P,cat,3,30627,0.025769292091836735,NA,P_cat_sketch_age5_IPAD3_THU5M3.png,5,THU
111218_2,photodraw_e21542049031572,P,chair,8,10.639,0.06204161352040816,age5,P_chair_sketch_age5_CDM_photodraw_e21542049031572.png,5,CDM
IPAD5_THU5F3,Tsinghua_photodraw_production1573781111110,P,chair,8,20563,0.03298389668367347,NA,P_chair_sketch_age5_IPAD5_THU5F3.png,5,THU
111418_3,photodraw_e21542223602317,S,cup,1,4.181,0.021364795918367346,age5,S_cup_sketch_age5_CDM_photodraw_e21542223602317.png,5,CDM
IPAD4_THU5F6,Tsinghua_photodraw_production1573783407261,P,cup,3,30104,0.022520727040816327,NA,P_cup_sketch_age5_IPAD4_THU5F6.png,5,THU
110218_2,photodraw_e21541195324779,S,hat,1,5,0.02188297193877551,age5,S_hat_sketch_age5_CDM_photodraw_e21541195324779.png,5,CDM
IPAD4_THU5F6,Tsinghua_photodraw_production1573783407261,S,hat,6,17768,0.033282844387755105,NA,S_hat_sketch_age5_IPAD4_THU5F6.png,5,THU
121218_1,photodraw_e21544647022478,P,house,4,9.545,0.04490194515306122,age5,P_house_sketch_age5_CDM_photodraw_e21544647022478.png,5,CDM
IPAD3_THU5M1,Tsinghua_photodraw_production1573779019443,P,house,2,21813,0.044224330357142856,NA,P_house_sketch_age5_IPAD3_THU5M1.png,5,THU
111218_2,photodraw_e21542049031572,P,rabbit,16,18.676,0.07461734693877552,age5,P_rabbit_sketch_age5_CDM_photodraw_e21542049031572.png,5,CDM
IPAD5_THU5F2,Tsinghua_photodraw_production1573779810259,P,rabbit,6,30105,0.0205875318877551,NA,P_rabbit_sketch_age5_IPAD5_THU5F2.png,5,THU
121218_1,photodraw_e21544647022478,S,tree,2,5.928,0.050661670918367346,age5,S_tree_sketch_age5_CDM_photodraw_e21544647022478.png,5,CDM
IPAD5_THU5F2,Tsinghua_photodraw_production1573779810259,P,tree,4,30106,0.02477279974489796,NA,P_tree_sketch_age5_IPAD5_THU5F2.png,5,THU
010919_4,photodraw_e21547066393058,S,watch,5,9.631,0.027184311224489797,age5,S_watch_sketch_age5_CDM_photodraw_e21547066393058.png,5,CDM
IPAD4_THU5M3,Tsinghua_photodraw_production1573780549952,P,watch,7,14645,0.030153858418367346,NA,P_watch_sketch_age5_IPAD4_THU5M3.png,5,THU
011109_5,photodraw_e21547238095569,S,airplane,6,12.77,0.06590800382653061,age6,S_airplane_sketch_age6_CDM_photodraw_e21547238095569.png,6,CDM
IPAD1_THU6F28,Tsinghua_photodraw_production1576134856234,S,airplane,21,20805,0.0568000637755102,NA,S_airplane_sketch_age6_IPAD1_THU6F28.png,6,THU
111218_4,photodraw_e21542050776864,P,bike,13,19.35,0.17777423469387754,age6,P_bike_sketch_age6_CDM_photodraw_e21542050776864.png,6,CDM
IPAD1_THU6F32,Tsinghua_photodraw_production1576478852964,P,bike,12,30116,0.05412946428571429,NA,P_bike_sketch_age6_IPAD1_THU6F32.png,6,THU
011819_8,photodraw_e21547849081297,P,bird,6,15.893,0.038584183673469385,age6,P_bird_sketch_age6_CDM_photodraw_e21547849081297.png,6,CDM
IPAD2_THU6M3,Tsinghua_photodraw_production1577085989112,S,bird,8,30086,0.039720184948979595,NA,S_bird_sketch_age6_IPAD2_THU6M3.png,6,THU
