subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
010919_7,photodraw_e21547070395780,P,airplane,8,24.751,0.04585857780612245,age4,P_airplane_sketch_age4_CDM_photodraw_e21547070395780.png,4,CDM
IPAD2_THU5F04,Tsinghua_photodraw_production1573783270171,S,airplane,6,30114,0.05974968112244898,NA,S_airplane_sketch_age4_IPAD2_THU5F04.png,4,THU
011619_6,photodraw_e21547672389753,P,bike,5,10.426,0.04830994897959184,age4,P_bike_sketch_age4_CDM_photodraw_e21547672389753.png,4,CDM
IPAD2_THU5M03,Tsinghua_photodraw_production1573782278634,S,bike,10,30100,0.034658003826530615,NA,S_bike_sketch_age4_IPAD2_THU5M03.png,4,THU
020719_1,photodraw_e21549564465088,S,bird,3,2.829,0.003985969387755102,age4,S_bird_sketch_age4_CDM_photodraw_e21549564465088.png,4,CDM
IPAD3_THU4F8,Tsinghua_photodraw_production1573785586812,P,bird,5,30089,0.008908641581632654,NA,P_bird_sketch_age4_IPAD3_THU4F8.png,4,THU
012519_2,photodraw_e21548445362792,S,car,6,24.857,0.055763711734693876,age4,S_car_sketch_age4_CDM_photodraw_e21548445362792.png,4,CDM
IPAD2_THU5F04,Tsinghua_photodraw_production1573783270171,P,car,8,17805,0.03324298469387755,NA,P_car_sketch_age4_IPAD2_THU5F04.png,4,THU
011619_7,photodraw_e21547673281903,S,cat,5,10.643,0.031190210459183673,age4,S_cat_sketch_age4_CDM_photodraw_e21547673281903.png,4,CDM
IPAD4_THU4M7,Tsinghua_photodraw_production1573784365523,P,cat,6,30089,0.011499521683673469,NA,P_cat_sketch_age4_IPAD4_THU4M7.png,4,THU
011119_8,photodraw_e21547241159990,S,chair,12,13.358,0.04856903698979592,age4,S_chair_sketch_age4_CDM_photodraw_e21547241159990.png,4,CDM
IPAD4_THU5M5,Tsinghua_photodraw_production1573782437440,S,chair,7,17014,0.044622927295918366,NA,S_chair_sketch_age4_IPAD4_THU5M5.png,4,THU
O10919_1,photodraw_e21547060282520,S,cup,1,8.193,0.03077168367346939,age4,S_cup_sketch_age4_CDM_photodraw_e21547060282520.png,4,CDM
IPAD2_THU4F09,Tsinghua_photodraw_production1573800333460,S,cup,2,23124,0.021922831632653062,NA,S_cup_sketch_age4_IPAD2_THU4F09.png,4,THU
011819_2,photodraw_e21547836177154,S,hat,1,5.663,0.03286431760204082,age4,S_hat_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD4_THU4M7,Tsinghua_photodraw_production1573784365523,S,hat,15,30043,0.04322783801020408,NA,S_hat_sketch_age4_IPAD4_THU4M7.png,4,THU
011119_11,photodraw_e21547243566891,P,house,6,20.967,0.017857142857142856,age4,P_house_sketch_age4_CDM_photodraw_e21547243566891.png,4,CDM
IPAD4_THU4F8,Tsinghua_photodraw_production1573785392477,S,house,15,30118,0.038962850765306124,NA,S_house_sketch_age4_IPAD4_THU4F8.png,4,THU
011619_2,photodraw_e21547664938821,S,rabbit,1,8.031,0.0628188775510204,age4,S_rabbit_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
IPAD4_THU4M7,Tsinghua_photodraw_production1573784365523,S,rabbit,8,30088,0.03852439413265306,NA,S_rabbit_sketch_age4_IPAD4_THU4M7.png,4,THU
012519_2,photodraw_e21548445362792,S,tree,3,5.853,0.03282445790816327,age4,S_tree_sketch_age4_CDM_photodraw_e21548445362792.png,4,CDM
IPAD4_THU4F8,Tsinghua_photodraw_production1573785392477,S,tree,5,27154,0.0340202487244898,NA,S_tree_sketch_age4_IPAD4_THU4F8.png,4,THU
011119_11,photodraw_e21547243566891,S,watch,4,11.962,0.036013233418367346,age4,S_watch_sketch_age4_CDM_photodraw_e21547243566891.png,4,CDM
