subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
011119_8,photodraw_e21547241159990,P,airplane,13,15.825,0.06642617984693877,age4,P_airplane_sketch_age4_CDM_photodraw_e21547241159990.png,4,CDM
IPAD1_THU4M9,Tsinghua_photodraw_production1573786980255,S,airplane,2,30171,0.03202726403061224,NA,S_airplane_sketch_age4_IPAD1_THU4M9.png,4,THU
102618_1,photodraw_e21540576907849,P,bike,4,5.478,0.04388552295918367,age4,P_bike_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD5_THU4F8,Tsinghua_photodraw_production1573785761327,P,bike,10,30083,0.032545440051020405,NA,P_bike_sketch_age4_IPAD5_THU4F8.png,4,THU
010919_8,photodraw_e21547071853117,S,bird,43,29.76,0.21689652423469388,age4,S_bird_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD3_THU4M9,Tsinghua_photodraw_production1573786300883,P,bird,5,11428,0.010542889030612245,NA,P_bird_sketch_age4_IPAD3_THU4M9.png,4,THU
O10919_1,photodraw_e21547060282520,S,car,7,22.375,0.046994579081632654,age4,S_car_sketch_age4_CDM_photodraw_e21547060282520.png,4,CDM
IPAD3_THU4M5,Tsinghua_photodraw_production1573782448277,S,car,2,27505,0.019013073979591837,NA,S_car_sketch_age4_IPAD3_THU4M5.png,4,THU
110918_1,photodraw_e21541799408496,S,cat,3,11.616,0.02361686862244898,age4,S_cat_sketch_age4_CDM_photodraw_e21541799408496.png,4,CDM
IPAD3_THU4M10,Tsinghua_photodraw_production1573800441750,P,cat,10,30316,0.03037308673469388,NA,P_cat_sketch_age4_IPAD3_THU4M10.png,4,THU
O10919_1,photodraw_e21547060282520,S,chair,7,11.831,0.036451690051020405,age4,S_chair_sketch_age4_CDM_photodraw_e21547060282520.png,4,CDM
IPAD3_THU4M5,Tsinghua_photodraw_production1573782448277,S,chair,3,14172,0.023995535714285716,NA,S_chair_sketch_age4_IPAD3_THU4M5.png,4,THU
010919_8,photodraw_e21547071853117,P,cup,44,20.459,0.12125318877551021,age4,P_cup_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD5_THU4M10,Tsinghua_photodraw_production1573799989669,P,cup,2,11859,0.032525510204081634,NA,P_cup_sketch_age4_IPAD5_THU4M10.png,4,THU
011619_1,photodraw_e21547663022993,S,hat,2,10.546,0.015664859693877552,age4,S_hat_sketch_age4_CDM_photodraw_e21547663022993.png,4,CDM
IPAD1_THU4F10,Tsinghua_photodraw_production1573800407496,P,hat,2,12186,0.011658960459183673,NA,P_hat_sketch_age4_IPAD1_THU4F10.png,4,THU
0111819_10,photodraw_e21547849860466,P,house,10,23.696,0.04641661352040816,age4,P_house_sketch_age4_CDM_photodraw_e21547849860466.png,4,CDM
IPAD1_THU4M5,Tsinghua_photodraw_production1573782358833,S,house,8,30186,0.024713010204081634,NA,S_house_sketch_age4_IPAD1_THU4M5.png,4,THU
102618_1,photodraw_e21540576907849,P,rabbit,8,10.627,0.06333705357142858,age4,P_rabbit_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD1_THU4M5,Tsinghua_photodraw_production1573782358833,P,rabbit,6,30155,0.01638233418367347,NA,P_rabbit_sketch_age4_IPAD1_THU4M5.png,4,THU
011819_2,photodraw_e21547836177154,S,tree,6,12.84,0.05004384566326531,age4,S_tree_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD5_THU4M7,Tsinghua_photodraw_production1573784374186,P,tree,9,21351,0.06419403698979592,NA,P_tree_sketch_age4_IPAD5_THU4M7.png,4,THU
102618_1,photodraw_e21540576907849,P,watch,2,3.241,0.03441884566326531,age4,P_watch_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD1_THU5M4,Tsinghua_photodraw_production1573781508415,P,watch,16,29569,0.047193877551020405,NA,P_watch_sketch_age4_IPAD1_THU5M4.png,4,THU
