subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
O10919_1,photodraw_e21547060282520,P,airplane,6,17.741,0.0400390625,age4,P_airplane_sketch_age4_CDM_photodraw_e21547060282520.png,4,CDM
IPAD_THU5F6,Tsinghua_photodraw_production1573783497407,P,airplane,6,15701,0.01225685586734694,NA,P_airplane_sketch_age4_IPAD_THU5F6.png,4,THU
011119_11,photodraw_e21547243566891,P,bike,10,23.881,0.04571906887755102,age4,P_bike_sketch_age4_CDM_photodraw_e21547243566891.png,4,CDM
IPAD2_THU4F03,Tsinghua_photodraw_production1573785526202,P,bike,8,30094,0.03888313137755102,NA,P_bike_sketch_age4_IPAD2_THU4F03.png,4,THU
011619_5,photodraw_e21547668526141,S,bird,2,6.828,0.03439891581632653,age4,S_bird_sketch_age4_CDM_photodraw_e21547668526141.png,4,CDM
IPAD5_THU4M10,Tsinghua_photodraw_production1573799989669,P,bird,1,21954,0.033203125,NA,P_bird_sketch_age4_IPAD5_THU4M10.png,4,THU
020719_1,photodraw_e21549564465088,P,car,3,4.586,0.04223134566326531,age4,P_car_sketch_age4_CDM_photodraw_e21549564465088.png,4,CDM
IPAD3_THU4M9,Tsinghua_photodraw_production1573786300883,S,car,8,30060,0.10427295918367346,NA,S_car_sketch_age4_IPAD3_THU4M9.png,4,THU
010919_8,photodraw_e21547071853117,S,cat,11,21.234,0.022421077806122448,age4,S_cat_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD_THU5F6,Tsinghua_photodraw_production1573783497407,S,cat,13,28524,0.025530133928571428,NA,S_cat_sketch_age4_IPAD_THU5F6.png,4,THU
0111819_10,photodraw_e21547849860466,P,chair,4,3.942,0.01233657525510204,age4,P_chair_sketch_age4_CDM_photodraw_e21547849860466.png,4,CDM
IPAD5_THU4M7,Tsinghua_photodraw_production1573784374186,P,chair,8,30212,0.07818478954081633,NA,P_chair_sketch_age4_IPAD5_THU4M7.png,4,THU
012519_4,photodraw_e21548451296118,P,cup,3,10.523,0.04354671556122449,age4,P_cup_sketch_age4_CDM_photodraw_e21548451296118.png,4,CDM
IPAD1_THU4F8,Tsinghua_photodraw_production1573785607858,S,cup,3,18398,0.03256536989795918,NA,S_cup_sketch_age4_IPAD1_THU4F8.png,4,THU
010919_8,photodraw_e21547071853117,S,hat,23,19.907,0.2904575892857143,age4,S_hat_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD4_THU4F9,Tsinghua_photodraw_production1573800498010,S,hat,3,17949,0.0223812181122449,NA,S_hat_sketch_age4_IPAD4_THU4F9.png,4,THU
102618_1,photodraw_e21540576907849,S,house,3,8.366,0.04350685586734694,age4,S_house_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD4_THU4F9,Tsinghua_photodraw_production1573800498010,S,house,9,23979,0.06375558035714286,NA,S_house_sketch_age4_IPAD4_THU4F9.png,4,THU
O10919_1,photodraw_e21547060282520,P,rabbit,7,20.558,0.029894770408163265,age4,P_rabbit_sketch_age4_CDM_photodraw_e21547060282520.png,4,CDM
IPAD3_THU4M10,Tsinghua_photodraw_production1573800441750,S,rabbit,5,26441,0.022022480867346938,NA,S_rabbit_sketch_age4_IPAD3_THU4M10.png,4,THU
O10919_1,photodraw_e21547060282520,P,tree,5,15.249,0.03844467474489796,age4,P_tree_sketch_age4_CDM_photodraw_e21547060282520.png,4,CDM
IPAD1_THU4M5,Tsinghua_photodraw_production1573782358833,P,tree,2,30212,0.014568718112244899,NA,P_tree_sketch_age4_IPAD1_THU4M5.png,4,THU
011119_12,photodraw_e21547246292717,P,watch,3,8.831,0.011459661989795918,age4,P_watch_sketch_age4_CDM_photodraw_e21547246292717.png,4,CDM
IPAD2_THU4F03,Tsinghua_photodraw_production1573785526202,S,watch,7,30163,0.03286431760204082,NA,S_watch_sketch_age4_IPAD2_THU4F03.png,4,THU
111218_1,photodraw_e21542047659207,P,airplane,19,28.813,0.09091996173469388,age5,P_airplane_sketch_age5_CDM_photodraw_e21542047659207.png,5,CDM
IPAD4_THU5F2,Tsinghua_photodraw_production1573779925870,P,airplane,7,30105,0.05510602678571429,NA,P_airplane_sketch_age5_IPAD4_THU5F2.png,5,THU
111218_2,photodraw_e21542049031572,S,bike,12,17.399,0.08191167091836735,age5,S_bike_sketch_age5_CDM_photodraw_e21542049031572.png,5,CDM
IPAD5_THU5F3,Tsinghua_photodraw_production1573781111110,S,bike,7,26690,0.02198262117346939,NA,S_bike_sketch_age5_IPAD5_THU5F3.png,5,THU
111418_3,photodraw_e21542223602317,S,bird,6,15.261,0.017159598214285716,age5,S_bird_sketch_age5_CDM_photodraw_e21542223602317.png,5,CDM
IPAD5_THU5F2,Tsinghua_photodraw_production1573779810259,S,bird,3,30075,0.010363520408163265,NA,S_bird_sketch_age5_IPAD5_THU5F2.png,5,THU
110718_2,photodraw_e21541616746618,S,car,15,19.552,0.06112484056122449,age5,S_car_sketch_age5_CDM_photodraw_e21541616746618.png,5,CDM
120718_1,photodraw_e21544206692186,P,cat,8,24.633,0.04310825892857143,age5,P_cat_sketch_age5_CDM_photodraw_e21544206692186.png,5,CDM
IPAD3_THU5F4,Tsinghua_photodraw_production1573781474552,P,cat,10,30088,0.06598772321428571,NA,P_cat_sketch_age5_IPAD3_THU5F4.png,5,THU
121418_1,photodraw_e21544819304302,P,chair,14,28.348,0.10626594387755102,age5,P_chair_sketch_age5_CDM_photodraw_e21544819304302.png,5,CDM
IPAD5_THU6M4,Tsinghua_photodraw_production1573781580447,S,chair,2,6200,0.02018893494897959,NA,S_chair_sketch_age5_IPAD5_THU6M4.png,5,THU
121418_1,photodraw_e21544819304302,S,cup,3,7.884,0.03714923469387755,age5,S_cup_sketch_age5_CDM_photodraw_e21544819304302.png,5,CDM
IPAD5_THU6M4,Tsinghua_photodraw_production1573781580447,P,cup,2,10451,0.024135044642857144,NA,P_cup_sketch_age5_IPAD5_THU6M4.png,5,THU
112818_2,photodraw_e21543432563054,S,hat,7,13.948,0.023995535714285716,age5,S_hat_sketch_age5_CDM_photodraw_e21543432563054.png,5,CDM
IPAD3_THU5M3,Tsinghua_photodraw_production1573780632846,P,hat,2,10463,0.024852519132653062,NA,P_hat_sketch_age5_IPAD3_THU5M3.png,5,THU
111418_5,photodraw_e21542225408593,S,house,3,12.078,0.038185586734693876,age5,S_house_sketch_age5_CDM_photodraw_e21542225408593.png,5,CDM
IPAD3_THU5M3,Tsinghua_photodraw_production1573780632846,S,house,8,14494,0.033701371173469385,NA,S_house_sketch_age5_IPAD3_THU5M3.png,5,THU
