subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
011119_11,photodraw_e21547243566891,S,airplane,5,17.329,0.031010841836734693,age4,S_airplane_sketch_age4_CDM_photodraw_e21547243566891.png,4,CDM
IPAD3_THU4M5,Tsinghua_photodraw_production1573782448277,P,airplane,6,30091,0.048927774234693876,NA,P_airplane_sketch_age4_IPAD3_THU4M5.png,4,THU
020719_1,photodraw_e21549564465088,S,bike,2,2.643,0.03511639030612245,age4,S_bike_sketch_age4_CDM_photodraw_e21549564465088.png,4,CDM
IPAD4_THU4F9,Tsinghua_photodraw_production1573800498010,S,bike,8,19826,0.07515545280612244,NA,S_bike_sketch_age4_IPAD4_THU4F9.png,4,THU
011119_12,photodraw_e21547246292717,P,bird,7,20.603,0.017637914540816327,age4,P_bird_sketch_age4_CDM_photodraw_e21547246292717.png,4,CDM
IPAD3_THU4M5,Tsinghua_photodraw_production1573782448277,S,bird,5,28310,0.0284000318877551,NA,S_bird_sketch_age4_IPAD3_THU4M5.png,4,THU
102618_1,photodraw_e21540576907849,P,car,8,15.959,0.04886798469387755,age4,P_car_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD4_THU5M5,Tsinghua_photodraw_production1573782437440,P,car,7,27854,0.055165816326530615,NA,P_car_sketch_age4_IPAD4_THU5M5.png,4,THU
011819_2,photodraw_e21547836177154,S,cat,7,21.025,0.18919403698979592,age4,S_cat_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD2_THU5F04,Tsinghua_photodraw_production1573783270171,S,cat,11,23079,0.055783641581632654,NA,S_cat_sketch_age4_IPAD2_THU5F04.png,4,THU
011619_2,photodraw_e21547664938821,S,chair,11,25.226,0.05357142857142857,age4,S_chair_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
IPAD1_THU4F6,Tsinghua_photodraw_production1573783652311,S,chair,3,30203,0.030970982142857144,NA,S_chair_sketch_age4_IPAD1_THU4F6.png,4,THU
011119_8,photodraw_e21547241159990,S,cup,1,6.354,0.01038345025510204,age4,S_cup_sketch_age4_CDM_photodraw_e21547241159990.png,4,CDM
IPAD2_THU4F03,Tsinghua_photodraw_production1573785526202,P,cup,4,13223,0.025151466836734693,NA,P_cup_sketch_age4_IPAD2_THU4F03.png,4,THU
011619_5,photodraw_e21547668526141,S,hat,1,3.065,0.030552455357142856,age4,S_hat_sketch_age4_CDM_photodraw_e21547668526141.png,4,CDM
IPAD2_THU4F09,Tsinghua_photodraw_production1573800333460,S,hat,1,13844,0.014329559948979591,NA,S_hat_sketch_age4_IPAD2_THU4F09.png,4,THU
011819_2,photodraw_e21547836177154,P,house,3,17.255,0.03750797193877551,age4,P_house_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD5_THU4M7,Tsinghua_photodraw_production1573784374186,S,house,5,12905,0.048708545918367346,NA,S_house_sketch_age4_IPAD5_THU4M7.png,4,THU
011119_12,photodraw_e21547246292717,P,rabbit,7,21.418,0.017538265306122448,age4,P_rabbit_sketch_age4_CDM_photodraw_e21547246292717.png,4,CDM
IPAD_THU5F6,Tsinghua_photodraw_production1573783497407,P,rabbit,7,23237,0.026207748724489797,NA,P_rabbit_sketch_age4_IPAD_THU5F6.png,4,THU
010919_8,photodraw_e21547071853117,S,tree,41,27.812,0.09357063137755102,age4,S_tree_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD2_THU5F04,Tsinghua_photodraw_production1573783270171,S,tree,8,23943,0.04888791454081633,NA,S_tree_sketch_age4_IPAD2_THU5F04.png,4,THU
012519_6,photodraw_e21548455224165,P,watch,3,16.083,0.03300382653061224,age4,P_watch_sketch_age4_CDM_photodraw_e21548455224165.png,4,CDM
IPAD3_THU4F6,Tsinghua_photodraw_production1573783854844,P,watch,5,18867,0.06501116071428571,NA,P_watch_sketch_age4_IPAD3_THU4F6.png,4,THU
120718_1,photodraw_e21544206692186,P,airplane,4,13.459,0.028479751275510203,age5,P_airplane_sketch_age5_CDM_photodraw_e21544206692186.png,5,CDM
IPAD5_THU5F2,Tsinghua_photodraw_production1573779810259,P,airplane,3,30264,0.04440369897959184,NA,P_airplane_sketch_age5_IPAD5_THU5F2.png,5,THU
111418_5,photodraw_e21542225408593,P,bike,18,30,0.03985969387755102,age5,P_bike_sketch_age5_CDM_photodraw_e21542225408593.png,5,CDM
IPAD3_THU5F4,Tsinghua_photodraw_production1573781474552,P,bike,17,30111,0.06873804209183673,NA,P_bike_sketch_age5_IPAD3_THU5F4.png,5,THU
