subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
102618_1,photodraw_e21540576907849,S,airplane,4,13.02,0.031210140306122448,age4,S_airplane_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD5_THU4M10,Tsinghua_photodraw_production1573799989669,S,airplane,4,18023,0.03376116071428571,NA,S_airplane_sketch_age4_IPAD5_THU4M10.png,4,THU
011119_12,photodraw_e21547246292717,S,bike,5,14.37,0.027622767857142856,age4,S_bike_sketch_age4_CDM_photodraw_e21547246292717.png,4,CDM
IPAD3_THU4F8,Tsinghua_photodraw_production1573785586812,S,bike,6,30085,0.028599330357142856,NA,S_bike_sketch_age4_IPAD3_THU4F8.png,4,THU
012519_4,photodraw_e21548451296118,P,bird,5,19.635,0.02529097576530612,age4,P_bird_sketch_age4_CDM_photodraw_e21548451296118.png,4,CDM
IPAD4_THU4F9,Tsinghua_photodraw_production1573800498010,S,bird,10,30091,0.03962053571428571,NA,S_bird_sketch_age4_IPAD4_THU4F9.png,4,THU
011619_6,photodraw_e21547672389753,P,car,4,8.736,0.03846460459183673,age4,P_car_sketch_age4_CDM_photodraw_e21547672389753.png,4,CDM
IPAD4_THU4F9,Tsinghua_photodraw_production1573800498010,P,car,5,30100,0.04936623086734694,NA,P_car_sketch_age4_IPAD4_THU4F9.png,4,THU
O10919_1,photodraw_e21547060282520,S,cat,9,14.574,0.04294882015306122,age4,S_cat_sketch_age4_CDM_photodraw_e21547060282520.png,4,CDM
IPAD5_THU4M5,Tsinghua_photodraw_production1573782872726,P,cat,4,30128,0.020069355867346938,NA,P_cat_sketch_age4_IPAD5_THU4M5.png,4,THU
011119_9,photodraw_e21547242197593,S,chair,4,13.998,0.09689891581632654,age4,S_chair_sketch_age4_CDM_photodraw_e21547242197593.png,4,CDM
IPAD2_THU4M04,Tsinghua_photodraw_production1573786958772,S,chair,15,30084,0.04725366709183673,NA,S_chair_sketch_age4_IPAD2_THU4M04.png,4,THU
102618_1,photodraw_e21540576907849,S,cup,5,11.021,0.04300860969387755,age4,S_cup_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD1_THU4M5,Tsinghua_photodraw_production1573782358833,S,cup,2,25582,0.014528858418367346,NA,S_cup_sketch_age4_IPAD1_THU4M5.png,4,THU
011119_8,photodraw_e21547241159990,P,hat,8,17.453,0.06443319515306123,age4,P_hat_sketch_age4_CDM_photodraw_e21547241159990.png,4,CDM
IPAD3_THU4M10,Tsinghua_photodraw_production1573800441750,S,hat,2,15273,0.02002949617346939,NA,S_hat_sketch_age4_IPAD3_THU4M10.png,4,THU
011619_6,photodraw_e21547672389753,S,house,2,4.51,0.03804607780612245,age4,S_house_sketch_age4_CDM_photodraw_e21547672389753.png,4,CDM
IPAD2_THU4M04,Tsinghua_photodraw_production1573786958772,P,house,12,30112,0.03575414540816327,NA,P_house_sketch_age4_IPAD2_THU4M04.png,4,THU
011619_5,photodraw_e21547668526141,S,rabbit,8,16.576,0.0408561862244898,age4,S_rabbit_sketch_age4_CDM_photodraw_e21547668526141.png,4,CDM
IPAD1_THU4F6,Tsinghua_photodraw_production1573783652311,P,rabbit,3,30145,0.02000956632653061,NA,P_rabbit_sketch_age4_IPAD1_THU4F6.png,4,THU
010919_7,photodraw_e21547070395780,S,tree,12,18.631,0.0615234375,age4,S_tree_sketch_age4_CDM_photodraw_e21547070395780.png,4,CDM
IPAD2_THU5M03,Tsinghua_photodraw_production1573782278634,S,tree,11,30092,0.01331313775510204,NA,S_tree_sketch_age4_IPAD2_THU5M03.png,4,THU
011619_6,photodraw_e21547672389753,S,watch,5,8.761,0.037189094387755105,age4,S_watch_sketch_age4_CDM_photodraw_e21547672389753.png,4,CDM
IPAD3_THU4M9,Tsinghua_photodraw_production1573786300883,S,watch,8,21621,0.07467713647959184,NA,S_watch_sketch_age4_IPAD3_THU4M9.png,4,THU
010919_4,photodraw_e21547066393058,S,airplane,9,16.355,0.041314572704081634,age5,S_airplane_sketch_age5_CDM_photodraw_e21547066393058.png,5,CDM
IPAD5_THU5M9,Tsinghua_photodraw_production1573786717640,P,airplane,3,30082,0.01265545280612245,NA,P_airplane_sketch_age5_IPAD5_THU5M9.png,5,THU
121218_1,photodraw_e21544647022478,S,bike,3,4.34,0.04310825892857143,age5,S_bike_sketch_age5_CDM_photodraw_e21544647022478.png,5,CDM
IPAD1_THU5M1,Tsinghua_photodraw_production1573779087653,S,bike,13,30182,0.04360650510204082,NA,S_bike_sketch_age5_IPAD1_THU5M1.png,5,THU
111218_2,photodraw_e21542049031572,S,bird,18,15.516,0.07525510204081633,age5,S_bird_sketch_age5_CDM_photodraw_e21542049031572.png,5,CDM
