,session_id,subID,subID_cleaned,age,category,condition,filename,ref_image_name,stroke_count,svg
10,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,bird,P,THU_sketches_and_metadata/bird_sketch_iPad3_THU5M7 _P.png,images_photocues/bird_2.png,5,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M239.21875,344.42188l2.386,3.49127l3.8246,5.50735l3.7193,5.25804l2.0701,2.74334l1.03018,2.82411l0.60776,4.26431l0.28879,3.2201l0.07327,-0.30853"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
11,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,airplane,P,THU_sketches_and_metadata/airplane_sketch_iPad3_THU5M7 _P.png,images_photocues/airplane_2.png,1,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M325.21875,339.42188l21.34158,-29.78895l22.65842,-30.21105l11,-14l5.15566,-6.17593l7.64005,-5.72113l7.9922,-5.2726l6.21209,-4.83033l4.78289,-0.38004l5.21711,0.38004l7.93006,0.21205l10.61293,0.93675l9.84143,2.11235l5.61558,3.73885l4.50677,6.76755l4.49323,8.23245l4.57857,18.67046l2.08855,21.90691l-1.99501,21.61822l-3.02682,9.59925l-4.64529,8.20516l-21.44072,25.19773l-25.93281,24.89947l-27.99605,22.10087l-27.63043,16.80193l-24.6453,8.57265l-24.3547,8.42735l-8.3004,1.95669l-7.6996,3.04331l-3.66082,1.78582l-4.86615,0.74115l-4.85267,0.72767l-3.62036,1.74536l-3.40141,1.64804l-4.77294,0.76732l-8.82565,1.58464l-9.04997,3.11873l-10.13944,1.97597l-10.04474,1.92862l-8.76585,2.97667l-3.8859,0.9142l-5.70712,0.34731l-5.16061,-0.53344l-2.24637,-1.72807"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
12,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,airplane,P,THU_sketches_and_metadata/airplane_sketch_iPad3_THU5M7 _P.png,images_photocues/airplane_2.png,2,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M334.21875,329.42188l-7.22298,5.39393l-8.36906,4.07064l-17.40796,8.53543l-16.12547,10.65371l-16.87453,8.34629l-14.45486,8.48495l-14.54514,8.51505l-20.18129,10.78358l-10.04086,5.07276l-10.77785,2.14366"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
13,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,airplane,P,THU_sketches_and_metadata/airplane_sketch_iPad3_THU5M7 _P.png,images_photocues/airplane_2.png,3,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M294.21875,398.42188l-7.33554,-5.44492l-9.72148,-5.50174l-10.44297,-3.27841l-9.50001,1.22507l-5.15426,4.14904l-3.97338,6.25954l-4.39203,16.18728l0.36781,16.63935l1.97641,6.82463l3.17545,4.94016l3.24289,1.18211l5.08106,0.22977l9.67604,-0.41188l6.56519,0.42834l6.43481,-0.42834l5.32372,-3.00441l3.80246,-4.65007l4.04154,-12.729l0.95768,-14.78726l-0.12539,-13.82925"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
14,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,airplane,P,THU_sketches_and_metadata/airplane_sketch_iPad3_THU5M7 _P.png,images_photocues/airplane_2.png,4,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M407.21875,283.42188l-6.42063,7.01117l-3.57937,8.98883l-0.67065,4.14479l-0.2371,1.82165l-0.09226,0.03356"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
15,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,airplane,P,THU_sketches_and_metadata/airplane_sketch_iPad3_THU5M7 _P.png,images_photocues/airplane_2.png,5,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M387.21875,283.42188l6.08771,0.88925l3.53846,2.14875l2.97538,2.62975l4.39845,2.33226l8.60758,-0.24356l8.39242,0.24356l5,3"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
16,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,airplane,P,THU_sketches_and_metadata/airplane_sketch_iPad3_THU5M7 _P.png,images_photocues/airplane_2.png,6,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M222.21875,390.42188h-73l-6.284,0.26625l-9.18843,0.44376l-8.95222,0.08875l-5.57535,-0.79876l-8,-2"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
17,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,airplane,P,THU_sketches_and_metadata/airplane_sketch_iPad3_THU5M7 _P.png,images_photocues/airplane_2.png,7,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M215.21875,464.42188l-10.60528,0.14979l-13.33312,-0.08368l-12.36392,-1.11674l-7.69768,-2.94937l-2.97679,-1.01651l-4.63912,-0.20533l-8.38408,-0.77816l-8.01027,-1.19612l-12.68092,0.1329l-13.08533,0.66451l-9.22348,0.39871"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
18,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,airplane,P,THU_sketches_and_metadata/airplane_sketch_iPad3_THU5M7 _P.png,images_photocues/airplane_2.png,8,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M203.21875,415.42188l-17.24894,-9.1321l-18.75106,-3.8679l-5.73312,-0.40658l-5.26688,0.40658l-4.91062,8.94782l-1.3102,11.95553l2.55021,12.50385l6.67061,10.5928l10.18817,7.54068l11.33242,3.66993l11.32212,-0.93537l10.15729,-6.27524l5.46907,-8.46907l4.53093,-7.53093l2.30144,-5.469l0.61307,-8.059l-1.34418,-7.295l-3.57033,-3.177"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
19,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,house,P,THU_sketches_and_metadata/house_sketch_iPad3_THU5M7 _P.png,images_photocues/house_3.png,1,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M154.21875,285.42188l8.10164,-17.03003l11.06405,-16.43578l13.2312,-14.70288l14.60311,-11.83131l4.74757,-3.17447l7.54578,-4.574l7.6491,-3.44977l5.05755,0.19823l0.91537,1.49746l2.10842,3.656l6.31538,11.11484l6.6458,11.73069l2.52144,4.42581l1.4936,2.57519l1.88348,5.84021l2.11652,5.15979l4.24208,6.11708l3.40071,7.52571l3.32932,7.45432l4.0279,5.9029l0.55088,2.89463l0.70789,5.86414l0.82851,5.98476l0.91272,3.25647v1l-0.30743,14.2574l2.30743,12.7426l-0.20567,5.18977l0.20567,4.81023l2.4042,7.49317l1.5958,8.50683l4.02601,12.144l1.72457,13.51912l1.24942,27.33688l1.59823,23.33386l-0.03854,24.71275l-3.56838,22.43944l-3.69947,9.22592l-5.29184,7.28802l-0.94594,2.50844l-1.15691,4.59441l-1.35548,4.79298l-1.54167,3.10417l-8.87693,5.56398l-11.12307,5.43602l-7.35481,1.89928l-7.64519,1.10072l-11.74987,3.16424l-6.56962,0.90946l-5.68051,-1.0737l-11.85471,-7.73042l-10.39822,-10.41255l-8.02175,-12.34107l-4.72532,-13.51596l-3.81645,-24.32803l-2.16384,-25.17505l-0.77997,-51.65253l1.60016,-51.32472l1.1601,-48.51967"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
20,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,house,P,THU_sketches_and_metadata/house_sketch_iPad3_THU5M7 _P.png,images_photocues/house_3.png,2,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M204.21875,314.42188l-2.87525,-10.26617l2.39242,-7.82461l6.38384,-6.52922l9.099,-6.38l6.12948,-3.48628l7.23436,-2.54506l7.05244,-0.02939l5.58372,4.06074l4.3153,8.51857l3.27116,10.6911l1.22793,10.83627l-1.8144,8.95407l-5.34811,5.54911l-8.59371,4.35891l-9.3728,2.1549l-7.68538,-1.06291l-4.10971,-4.65935l-4.59892,-8.47361l-3.7446,-9.15713l-1.54676,-6.70991"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
