subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
012519_2,photodraw_e21548445362792,P,airplane,10,28.118,0.047552614795918366,age4,P_airplane_sketch_age4_CDM_photodraw_e21548445362792.png,4,CDM
IPAD3_THU4M9,Tsinghua_photodraw_production1573786300883,S,airplane,4,30062,0.19764429209183673,NA,S_airplane_sketch_age4_IPAD3_THU4M9.png,4,THU
011619_5,photodraw_e21547668526141,S,bike,11,26.897,0.07623166454081633,age4,S_bike_sketch_age4_CDM_photodraw_e21547668526141.png,4,CDM
IPAD1_THU4M7,Tsinghua_photodraw_production1573784632550,P,bike,5,18651,0.05201690051020408,NA,P_bike_sketch_age4_IPAD1_THU4M7.png,4,THU
011619_2,photodraw_e21547664938821,P,bird,1,16.497,0.03063217474489796,age4,P_bird_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
IPAD2_THU4F09,Tsinghua_photodraw_production1573800333460,P,bird,11,30089,0.037009725765306124,NA,P_bird_sketch_age4_IPAD2_THU4F09.png,4,THU
011119_8,photodraw_e21547241159990,P,car,8,22.983,0.053810586734693876,age4,P_car_sketch_age4_CDM_photodraw_e21547241159990.png,4,CDM
IPAD5_THU4M7,Tsinghua_photodraw_production1573784374186,S,car,10,23272,0.10606664540816327,NA,S_car_sketch_age4_IPAD5_THU4M7.png,4,THU
012519_2,photodraw_e21548445362792,P,cat,9,21.205,0.03378109056122449,age4,P_cat_sketch_age4_CDM_photodraw_e21548445362792.png,4,CDM
IPAD1_THU4F8,Tsinghua_photodraw_production1573785607858,P,cat,1,17968,0.026925223214285716,NA,P_cat_sketch_age4_IPAD1_THU4F8.png,4,THU
012519_6,photodraw_e21548455224165,S,chair,6,11.944,0.03322305484693878,age4,S_chair_sketch_age4_CDM_photodraw_e21548455224165.png,4,CDM
IPAD1_THU4M9,Tsinghua_photodraw_production1573786980255,P,chair,11,21014,0.03415975765306122,NA,P_chair_sketch_age4_IPAD1_THU4M9.png,4,THU
