subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
010919_8,photodraw_e21547071853117,P,airplane,6,10.026,0.07991868622448979,age4,P_airplane_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD1_THU4F10,Tsinghua_photodraw_production1573800407496,P,airplane,8,30231,0.018036511479591837,NA,P_airplane_sketch_age4_IPAD1_THU4F10.png,4,THU
011119_8,photodraw_e21547241159990,P,bike,7,18.475,0.04360650510204082,age4,P_bike_sketch_age4_CDM_photodraw_e21547241159990.png,4,CDM
IPAD2_THU4M04,Tsinghua_photodraw_production1573786958772,P,bike,12,30120,0.058912627551020405,NA,P_bike_sketch_age4_IPAD2_THU4M04.png,4,THU
011819_2,photodraw_e21547836177154,P,bird,5,23.712,0.0909000318877551,age4,P_bird_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD2_THU4M04,Tsinghua_photodraw_production1573786958772,S,bird,19,30083,0.04888791454081633,NA,S_bird_sketch_age4_IPAD2_THU4M04.png,4,THU
011619_2,photodraw_e21547664938821,S,car,2,3.722,0.024872448979591837,age4,S_car_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
IPAD1_THU4M5,Tsinghua_photodraw_production1573782358833,P,car,4,30365,0.0176578443877551,NA,P_car_sketch_age4_IPAD1_THU4M5.png,4,THU
012519_4,photodraw_e21548451296118,S,cat,1,0.111,0.00914779974489796,age4,S_cat_sketch_age4_CDM_photodraw_e21548451296118.png,4,CDM
IPAD3_THU4F8,Tsinghua_photodraw_production1573785586812,P,cat,4,30113,0.00936702806122449,NA,P_cat_sketch_age4_IPAD3_THU4F8.png,4,THU
020719_1,photodraw_e21549564465088,P,chair,11,12.072,0.05020328443877551,age4,P_chair_sketch_age4_CDM_photodraw_e21549564465088.png,4,CDM
IPAD1_THU4F8,Tsinghua_photodraw_production1573785607858,S,chair,5,17142,0.026925223214285716,NA,S_chair_sketch_age4_IPAD1_THU4F8.png,4,THU
011619_2,photodraw_e21547664938821,P,cup,1,5.171,0.02138472576530612,age4,P_cup_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
IPAD4_THU4F8,Tsinghua_photodraw_production1573785392477,P,cup,3,18786,0.03236607142857143,NA,P_cup_sketch_age4_IPAD4_THU4F8.png,4,THU
011619_2,photodraw_e21547664938821,P,hat,3,10.129,0.024952168367346938,age4,P_hat_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
IPAD4_THU5M5,Tsinghua_photodraw_production1573782437440,S,hat,4,18805,0.05548469387755102,NA,S_hat_sketch_age4_IPAD4_THU5M5.png,4,THU
110918_1,photodraw_e21541799408496,S,house,3,4.551,0.03790656887755102,age4,S_house_sketch_age4_CDM_photodraw_e21541799408496.png,4,CDM
