subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
020719_1,photodraw_e21549564465088,S,airplane,1,2.372,0.018036511479591837,age4,S_airplane_sketch_age4_CDM_photodraw_e21549564465088.png,4,CDM
IPAD5_THU4M5,Tsinghua_photodraw_production1573782872726,S,airplane,2,30073,0.014170121173469387,NA,S_airplane_sketch_age4_IPAD5_THU4M5.png,4,THU
011119_9,photodraw_e21547242197593,S,bike,7,14.774,0.05189732142857143,age4,S_bike_sketch_age4_CDM_photodraw_e21547242197593.png,4,CDM
IPAD_THU5F6,Tsinghua_photodraw_production1573783497407,P,bike,15,30106,0.03077168367346939,NA,P_bike_sketch_age4_IPAD_THU5F6.png,4,THU
010919_7,photodraw_e21547070395780,P,bird,10,25.489,0.035833864795918366,age4,P_bird_sketch_age4_CDM_photodraw_e21547070395780.png,4,CDM
IPAD4_THU4F8,Tsinghua_photodraw_production1573785392477,P,bird,5,30166,0.03148915816326531,NA,P_bird_sketch_age4_IPAD4_THU4F8.png,4,THU
011119_12,photodraw_e21547246292717,S,car,6,13.046,0.0126953125,age4,S_car_sketch_age4_CDM_photodraw_e21547246292717.png,4,CDM
IPAD4_THU4M7,Tsinghua_photodraw_production1573784365523,P,car,2,30084,0.013113839285714286,NA,P_car_sketch_age4_IPAD4_THU4M7.png,4,THU
011619_2,photodraw_e21547664938821,P,cat,1,9.151,0.04021843112244898,age4,P_cat_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
IPAD2_THU4F09,Tsinghua_photodraw_production1573800333460,P,cat,10,30146,0.05275430484693878,NA,P_cat_sketch_age4_IPAD2_THU4F09.png,4,THU
010919_8,photodraw_e21547071853117,P,chair,9,21.376,0.15361926020408162,age4,P_chair_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD4_THU4F8,Tsinghua_photodraw_production1573785392477,S,chair,9,30122,0.03541533801020408,NA,S_chair_sketch_age4_IPAD4_THU4F8.png,4,THU
020719_1,photodraw_e21549564465088,P,cup,2,3.954,0.027064732142857144,age4,P_cup_sketch_age4_CDM_photodraw_e21549564465088.png,4,CDM
IPAD1_THU5M4,Tsinghua_photodraw_production1573781508415,S,cup,3,15234,0.026785714285714284,NA,S_cup_sketch_age4_IPAD1_THU5M4.png,4,THU
012519_2,photodraw_e21548445362792,S,hat,3,4.052,0.01287468112244898,age4,S_hat_sketch_age4_CDM_photodraw_e21548445362792.png,4,CDM
IPAD1_THU4F8,Tsinghua_photodraw_production1573785607858,P,hat,3,21641,0.023098692602040817,NA,P_hat_sketch_age4_IPAD1_THU4F8.png,4,THU
011619_2,photodraw_e21547664938821,P,house,5,27.932,0.046954719387755105,age4,P_house_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
