subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
011819_2,photodraw_e21547836177154,P,airplane,13,23.82,0.09799505739795919,age4,P_airplane_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD3_THU4F6,Tsinghua_photodraw_production1573783854844,S,airplane,8,28365,0.050701530612244895,NA,S_airplane_sketch_age4_IPAD3_THU4F6.png,4,THU
011619_7,photodraw_e21547673281903,S,bike,2,5.23,0.03085140306122449,age4,S_bike_sketch_age4_CDM_photodraw_e21547673281903.png,4,CDM
IPAD3_THU4F6,Tsinghua_photodraw_production1573783854844,P,bike,5,25193,0.03005420918367347,NA,P_bike_sketch_age4_IPAD3_THU4F6.png,4,THU
011619_7,photodraw_e21547673281903,S,bird,11,22.747,0.04691485969387755,age4,S_bird_sketch_age4_CDM_photodraw_e21547673281903.png,4,CDM
IPAD1_THU5M4,Tsinghua_photodraw_production1573781508415,S,bird,10,22080,0.04603794642857143,NA,S_bird_sketch_age4_IPAD1_THU5M4.png,4,THU
011619_5,photodraw_e21547668526141,S,car,9,30,0.055165816326530615,age4,S_car_sketch_age4_CDM_photodraw_e21547668526141.png,4,CDM
IPAD1_THU4F6,Tsinghua_photodraw_production1573783652311,P,car,6,30170,0.04532047193877551,NA,P_car_sketch_age4_IPAD1_THU4F6.png,4,THU
011619_5,photodraw_e21547668526141,S,cat,8,23.043,0.06572863520408163,age4,S_cat_sketch_age4_CDM_photodraw_e21547668526141.png,4,CDM
IPAD1_THU5M4,Tsinghua_photodraw_production1573781508415,P,cat,3,30132,0.04611766581632653,NA,P_cat_sketch_age4_IPAD1_THU5M4.png,4,THU
011119_12,photodraw_e21547246292717,P,chair,6,24.974,0.01313376913265306,age4,P_chair_sketch_age4_CDM_photodraw_e21547246292717.png,4,CDM
IPAD1_THU4F10,Tsinghua_photodraw_production1573800407496,S,chair,8,28329,0.02770248724489796,NA,S_chair_sketch_age4_IPAD1_THU4F10.png,4,THU
011619_6,photodraw_e21547672389753,S,cup,3,1.473,0.023875956632653062,age4,S_cup_sketch_age4_CDM_photodraw_e21547672389753.png,4,CDM
IPAD4_THU4M7,Tsinghua_photodraw_production1573784365523,S,cup,2,16624,0.024394132653061226,NA,S_cup_sketch_age4_IPAD4_THU4M7.png,4,THU
011119_12,photodraw_e21547246292717,P,hat,4,8.439,0.008808992346938776,age4,P_hat_sketch_age4_CDM_photodraw_e21547246292717.png,4,CDM
IPAD2_THU4F03,Tsinghua_photodraw_production1573785526202,P,hat,3,15225,0.02112563775510204,NA,P_hat_sketch_age4_IPAD2_THU4F03.png,4,THU
012519_4,photodraw_e21548451296118,S,house,2,7.03,0.01598373724489796,age4,S_house_sketch_age4_CDM_photodraw_e21548451296118.png,4,CDM
IPAD3_THU4M5,Tsinghua_photodraw_production1573782448277,S,house,4,18517,0.054368622448979595,NA,S_house_sketch_age4_IPAD3_THU4M5.png,4,THU
020719_1,photodraw_e21549564465088,P,rabbit,1,3.412,0.03517617984693878,age4,P_rabbit_sketch_age4_CDM_photodraw_e21549564465088.png,4,CDM
IPAD1_THU5M4,Tsinghua_photodraw_production1573781508415,S,rabbit,11,24667,0.057936065051020405,NA,S_rabbit_sketch_age4_IPAD1_THU5M4.png,4,THU
011619_2,photodraw_e21547664938821,P,tree,2,6.543,0.028659119897959183,age4,P_tree_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
IPAD5_THU4F8,Tsinghua_photodraw_production1573785761327,P,tree,1,30108,0.005879304846938775,NA,P_tree_sketch_age4_IPAD5_THU4F8.png,4,THU
010919_8,photodraw_e21547071853117,S,watch,4,5.591,0.03138950892857143,age4,S_watch_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD1_THU4F10,Tsinghua_photodraw_production1573800407496,P,watch,8,29954,0.018255739795918366,NA,P_watch_sketch_age4_IPAD1_THU4F10.png,4,THU
121418_3,photodraw_e21544821083289,P,airplane,6,9.507,0.06556919642857142,age5,P_airplane_sketch_age5_CDM_photodraw_e21544821083289.png,5,CDM
IPAD3_THU5F2,Tsinghua_photodraw_production1573780074909,S,airplane,8,30080,0.05177774234693878,NA,S_airplane_sketch_age5_IPAD3_THU5F2.png,5,THU
