subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
012519_4,photodraw_e21548451296118,P,airplane,4,14.833,0.025251116071428572,age4,P_airplane_sketch_age4_CDM_photodraw_e21548451296118.png,4,CDM
IPAD1_THU4F8,Tsinghua_photodraw_production1573785607858,P,airplane,3,30827,0.037209024234693876,NA,P_airplane_sketch_age4_IPAD1_THU4F8.png,4,THU
010919_8,photodraw_e21547071853117,P,bike,13,22.628,0.08402423469387756,age4,P_bike_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD1_THU4M5,Tsinghua_photodraw_production1573782358833,S,bike,3,30171,0.03180803571428571,NA,S_bike_sketch_age4_IPAD1_THU4M5.png,4,THU
011619_1,photodraw_e21547663022993,S,bird,7,21.747,0.01917251275510204,age4,S_bird_sketch_age4_CDM_photodraw_e21547663022993.png,4,CDM
IPAD1_THU4F6,Tsinghua_photodraw_production1573783652311,S,bird,2,30147,0.009845344387755101,NA,S_bird_sketch_age4_IPAD1_THU4F6.png,4,THU
011619_1,photodraw_e21547663022993,S,car,10,16.907,0.04057716836734694,age4,S_car_sketch_age4_CDM_photodraw_e21547663022993.png,4,CDM
IPAD3_THU4F8,Tsinghua_photodraw_production1573785586812,S,car,6,30103,0.015365911989795918,NA,S_car_sketch_age4_IPAD3_THU4F8.png,4,THU
020719_1,photodraw_e21549564465088,P,cat,3,8.563,0.0372688137755102,age4,P_cat_sketch_age4_CDM_photodraw_e21549564465088.png,4,CDM
IPAD5_THU4M10,Tsinghua_photodraw_production1573799989669,S,cat,6,30261,0.06865832270408163,NA,S_cat_sketch_age4_IPAD5_THU4M10.png,4,THU
011619_7,photodraw_e21547673281903,P,chair,6,21.936,0.01975047831632653,age4,P_chair_sketch_age4_CDM_photodraw_e21547673281903.png,4,CDM
IPAD3_THU4F8,Tsinghua_photodraw_production1573785586812,P,chair,7,30086,0.014927455357142858,NA,P_chair_sketch_age4_IPAD3_THU4F8.png,4,THU
011819_2,photodraw_e21547836177154,S,cup,3,6.405,0.03657126913265306,age4,S_cup_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD3_THU4F8,Tsinghua_photodraw_production1573785586812,S,cup,4,19315,0.014768016581632654,NA,S_cup_sketch_age4_IPAD3_THU4F8.png,4,THU
012519_6,photodraw_e21548455224165,S,hat,3,11.66,0.04376594387755102,age4,S_hat_sketch_age4_CDM_photodraw_e21548455224165.png,4,CDM
IPAD3_THU4M9,Tsinghua_photodraw_production1573786300883,P,hat,16,30074,0.049147002551020405,NA,P_hat_sketch_age4_IPAD3_THU4M9.png,4,THU
010919_8,photodraw_e21547071853117,P,house,32,15.682,0.08868781887755102,age4,P_house_sketch_age4_CDM_photodraw_e21547071853117.png,4,CDM
IPAD_THU5F6,Tsinghua_photodraw_production1573783497407,S,house,11,21470,0.03687021683673469,NA,S_house_sketch_age4_IPAD_THU5F6.png,4,THU
011619_7,photodraw_e21547673281903,P,rabbit,7,23.393,0.020268654336734693,age4,P_rabbit_sketch_age4_CDM_photodraw_e21547673281903.png,4,CDM
IPAD4_THU4F9,Tsinghua_photodraw_production1573800498010,P,rabbit,13,30097,0.04681521045918367,NA,P_rabbit_sketch_age4_IPAD4_THU4F9.png,4,THU
102618_1,photodraw_e21540576907849,P,tree,17,10.878,0.06531010841836735,age4,P_tree_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD5_THU4M5,Tsinghua_photodraw_production1573782872726,S,tree,8,30236,0.07750717474489796,NA,S_tree_sketch_age4_IPAD5_THU4M5.png,4,THU
012519_2,photodraw_e21548445362792,S,watch,3,3.094,0.02098612882653061,age4,S_watch_sketch_age4_CDM_photodraw_e21548445362792.png,4,CDM
IPAD4_THU5M5,Tsinghua_photodraw_production1573782437440,S,watch,2,30091,0.051060267857142856,NA,S_watch_sketch_age4_IPAD4_THU5M5.png,4,THU
121218_1,photodraw_e21544647022478,P,airplane,3,6.557,0.03360172193877551,age5,P_airplane_sketch_age5_CDM_photodraw_e21544647022478.png,5,CDM
111218_6,photodraw_e21542057631101,S,bike,12,14.592,0.031190210459183673,age5,S_bike_sketch_age5_CDM_photodraw_e21542057631101.png,5,CDM
