subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
0111819_10,photodraw_e21547849860466,P,airplane,6,11.366,0.02503188775510204,age4,P_airplane_sketch_age4_CDM_photodraw_e21547849860466.png,4,CDM
IPAD5_THU4M7,Tsinghua_photodraw_production1573784374186,S,airplane,4,12133,0.0390625,NA,S_airplane_sketch_age4_IPAD5_THU4M7.png,4,THU
0111819_10,photodraw_e21547849860466,S,bike,8,22.5,0.03639190051020408,age4,S_bike_sketch_age4_CDM_photodraw_e21547849860466.png,4,CDM
IPAD5_THU4M10,Tsinghua_photodraw_production1573799989669,P,bike,4,17324,0.04155373086734694,NA,P_bike_sketch_age4_IPAD5_THU4M10.png,4,THU
110918_1,photodraw_e21541799408496,P,bird,4,6.873,0.03107063137755102,age4,P_bird_sketch_age4_CDM_photodraw_e21541799408496.png,4,CDM
IPAD1_THU4F8,Tsinghua_photodraw_production1573785607858,P,bird,8,30176,0.029715401785714284,NA,P_bird_sketch_age4_IPAD1_THU4F8.png,4,THU
0111819_10,photodraw_e21547849860466,S,car,7,26.187,0.041115274234693876,age4,S_car_sketch_age4_CDM_photodraw_e21547849860466.png,4,CDM
IPAD2_THU4F09,Tsinghua_photodraw_production1573800333460,P,car,3,18131,0.041673309948979595,NA,P_car_sketch_age4_IPAD2_THU4F09.png,4,THU
011119_11,photodraw_e21547243566891,P,cat,6,19.251,0.0235172193877551,age4,P_cat_sketch_age4_CDM_photodraw_e21547243566891.png,4,CDM
IPAD1_THU4M5,Tsinghua_photodraw_production1573782358833,P,cat,4,30174,0.016800860969387755,NA,P_cat_sketch_age4_IPAD1_THU4M5.png,4,THU
011619_5,photodraw_e21547668526141,P,chair,8,15.497,0.03372130102040816,age4,P_chair_sketch_age4_CDM_photodraw_e21547668526141.png,4,CDM
IPAD1_THU5M4,Tsinghua_photodraw_production1573781508415,S,chair,5,14314,0.02375637755102041,NA,S_chair_sketch_age4_IPAD1_THU5M4.png,4,THU
011119_12,photodraw_e21547246292717,S,cup,5,21.828,0.011519451530612245,age4,S_cup_sketch_age4_CDM_photodraw_e21547246292717.png,4,CDM
IPAD4_THU5M5,Tsinghua_photodraw_production1573782437440,P,cup,5,19744,0.08121412627551021,NA,P_cup_sketch_age4_IPAD4_THU5M5.png,4,THU
102618_1,photodraw_e21540576907849,S,hat,2,3.299,0.03966039540816327,age4,S_hat_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
IPAD3_THU4F6,Tsinghua_photodraw_production1573783854844,P,hat,2,13593,0.030472735969387755,NA,P_hat_sketch_age4_IPAD3_THU4F6.png,4,THU
012519_6,photodraw_e21548455224165,S,house,2,7.898,0.13020169005102042,age4,S_house_sketch_age4_CDM_photodraw_e21548455224165.png,4,CDM
IPAD1_THU4M9,Tsinghua_photodraw_production1573786980255,S,house,7,21974,0.03186782525510204,NA,S_house_sketch_age4_IPAD1_THU4M9.png,4,THU
011619_6,photodraw_e21547672389753,P,rabbit,7,13.324,0.04825015943877551,age4,P_rabbit_sketch_age4_CDM_photodraw_e21547672389753.png,4,CDM
IPAD1_THU4F8,Tsinghua_photodraw_production1573785607858,S,rabbit,8,24422,0.037228954081632654,NA,S_rabbit_sketch_age4_IPAD1_THU4F8.png,4,THU
